@relation pacman_data

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute LegalStop {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North, South, East, West, Stop}

@data
 5,8,1,1,1,1,1,6,4,3,1,10,11,13,8,5,-1,8,7,7,2,187,East
 5,9,1,1,1,1,1,6,5,3,1,9,11,12,8,5,-1,6,9,8,2,186,North
 6,9,1,1,1,1,1,6,5,3,1,8,11,12,7,4,-1,4,7,7,2,185,East
 7,9,0,1,1,1,1,6,4,3,1,9,11,12,8,6,-1,4,5,6,2,184,East
 8,9,0,1,1,1,1,5,4,3,1,9,11,12,9,8,-1,3,5,5,2,183,East
 9,9,0,1,1,1,1,5,5,3,1,9,11,13,9,8,-1,2,5,4,2,182,East
 10,9,1,1,1,1,1,4,5,3,1,10,11,14,9,10,-1,2,5,3,2,181,East
 10,10,1,1,1,0,1,5,5,3,1,5,1,15,9,10,-1,-1,7,4,2,380,North
 10,11,0,1,1,1,1,5,5,3,1,5,1,15,8,11,-1,-1,9,5,2,379,North
 10,11,0,1,1,1,1,6,5,3,1,5,1,16,8,10,-1,-1,9,5,2,378,North
 11,11,0,1,1,1,1,6,4,3,1,5,1,16,8,12,-1,-1,8,4,2,377,East
 12,11,0,0,1,1,1,7,4,3,1,5,1,16,8,12,-1,-1,8,3,2,376,East
 13,11,0,0,1,1,1,7,3,3,1,5,1,16,7,14,-1,-1,6,2,2,375,East
 14,11,0,1,1,1,1,8,3,3,1,5,1,15,7,14,-1,-1,6,1,2,374,East
 14,10,1,1,0,0,1,8,4,3,1,5,1,16,7,12,-1,-1,6,8,1,473,South
 14,9,1,1,1,1,1,8,3,3,1,5,1,17,7,12,-1,-1,6,7,1,472,South
 14,8,1,1,1,1,1,8,3,3,1,5,1,18,7,11,-1,-1,5,6,1,471,South
 15,8,1,1,1,1,1,9,3,3,1,5,1,18,7,11,-1,-1,4,7,1,470,East
 16,8,1,1,1,1,1,9,4,3,1,5,1,18,7,11,-1,-1,3,8,1,469,East
 17,8,1,1,1,1,1,9,4,3,1,5,1,18,7,12,-1,-1,3,9,1,468,East
 17,7,1,0,1,1,1,9,3,3,1,5,1,18,6,12,-1,-1,1,8,1,467,South
 17,7,1,0,1,1,1,10,3,3,1,5,1,18,7,11,-1,-1,2,8,1,466,South
 16,7,1,0,1,1,1,9,3,3,1,5,1,18,8,11,-1,-1,4,7,1,465,West
 15,7,1,0,1,1,1,9,4,3,1,5,1,18,9,9,-1,-1,4,6,1,464,West
 16,7,1,0,1,1,1,9,5,3,1,5,1,18,8,9,-1,-1,4,7,1,463,East
 17,7,1,0,1,1,1,8,5,3,1,5,1,18,9,11,-1,-1,3,8,1,462,East
 17,8,1,1,1,1,1,9,5,3,1,5,1,18,9,11,-1,-1,2,9,1,461,North
 17,9,0,1,1,1,1,9,4,3,1,5,1,18,9,13,-1,-1,1,10,1,460,North
 18,9,1,1,0,1,1,8,4,3,1,5,1,7,1,15,-1,-1,-1,11,1,659,East
 18,9,1,1,0,1,1,9,4,3,1,5,1,7,1,14,-1,-1,-1,11,1,658,East
 18,8,1,1,0,1,1,8,4,3,1,5,1,7,1,14,-1,-1,-1,10,1,657,South
 18,7,1,1,0,1,1,8,3,3,1,5,1,7,1,14,-1,-1,-1,9,1,656,South
 17,7,1,0,1,1,1,7,3,3,1,5,1,7,1,14,-1,-1,-1,8,1,655,West
 16,7,1,0,1,1,1,7,4,3,1,5,1,7,1,12,-1,-1,-1,7,1,654,West
 15,7,1,0,1,1,1,6,4,3,1,5,1,7,1,12,-1,-1,-1,6,1,653,West
 15,8,1,1,1,1,1,6,3,3,1,5,1,7,1,14,-1,-1,-1,7,1,652,North
 15,9,0,1,1,1,1,6,4,3,1,5,1,7,1,14,-1,-1,-1,8,1,651,North
 15,9,0,1,1,1,1,7,4,3,1,5,1,7,1,13,-1,-1,-1,8,1,650,North
 14,9,1,1,1,1,1,7,5,3,1,5,1,7,1,11,-1,-1,-1,7,1,649,West
 13,9,0,1,1,1,1,8,5,3,1,5,1,7,1,9,-1,-1,-1,6,1,648,West
 12,9,0,1,1,1,1,7,5,3,1,5,1,7,1,9,-1,-1,-1,5,1,647,West
 11,9,1,0,1,1,1,7,4,3,1,5,1,7,1,9,-1,-1,-1,4,1,646,West
 10,9,1,1,1,1,1,7,3,3,1,5,1,7,1,9,-1,-1,-1,3,1,645,West
 10,8,1,1,0,1,1,6,3,3,1,5,1,7,1,9,-1,-1,-1,2,1,644,South
 10,7,1,1,0,1,1,5,3,3,1,5,1,7,1,9,-1,-1,-1,1,1,643,South
 10,6,1,1,0,1,1,5,4,3,1,5,1,7,1,7,-1,-1,-1,-1,0,742,South
 10,5,1,1,1,1,1,5,5,3,1,5,1,7,1,5,-1,-1,-1,-1,0,741,South
 10,4,1,1,1,1,1,6,5,3,1,5,1,7,1,5,-1,-1,-1,-1,0,740,South
 9,4,1,1,1,1,1,6,5,3,1,5,1,7,1,4,-1,-1,-1,-1,0,739,West
 8,4,1,1,1,1,1,6,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,738,West
 8,5,1,1,1,1,1,5,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,737,North
 8,6,1,1,1,0,1,5,4,3,1,5,1,7,1,5,-1,-1,-1,-1,0,736,North
 8,7,1,1,1,1,1,5,5,3,1,5,1,7,1,5,-1,-1,-1,-1,0,735,North
 7,7,1,0,1,1,1,5,4,3,1,5,1,7,1,5,-1,-1,-1,-1,0,734,West
 6,7,1,0,1,1,1,5,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,733,West
 5,7,1,0,1,1,1,5,4,3,1,5,1,7,1,3,-1,-1,-1,-1,0,732,West
 6,7,1,0,1,1,1,5,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,731,East
 7,7,1,0,1,1,1,6,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,730,East
 8,7,1,1,1,1,1,6,5,3,1,5,1,7,1,4,-1,-1,-1,-1,0,729,East
 8,6,1,1,1,0,1,7,5,3,1,5,1,7,1,2,-1,-1,-1,-1,0,728,South
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,17,14,2,-1,Stop
 1,11,0,1,1,0,1,5,5,7,9,8,11,14,7,10,8,7,16,14,2,-2,Stop
 1,11,0,1,1,0,1,5,5,8,9,9,11,13,7,10,9,8,16,14,2,-3,Stop
 2,11,0,0,1,1,1,5,5,7,9,10,11,13,7,9,7,8,16,13,2,-4,East
 3,11,0,0,1,1,1,5,5,7,9,11,11,14,7,8,6,8,14,12,2,-5,East
 4,11,0,0,1,1,1,5,5,6,9,11,11,14,8,7,4,7,14,11,2,-6,East
 5,11,0,1,1,1,1,4,5,7,9,12,11,14,7,7,4,7,13,10,2,-7,East
 6,11,0,1,1,1,1,3,5,7,9,11,11,14,7,9,3,5,11,9,2,-8,East
 7,11,0,0,1,1,1,4,5,7,9,11,11,13,7,9,2,4,9,8,2,-9,East
 8,11,0,0,1,1,1,4,4,8,9,11,11,13,8,11,2,3,9,7,2,-10,East
 9,11,0,0,1,1,1,5,4,8,9,11,11,13,7,11,3,2,9,6,2,-11,East
 10,11,0,1,1,1,1,5,5,9,9,11,10,14,7,11,3,2,9,5,2,-12,East
 10,10,1,1,1,0,1,4,5,8,9,11,10,15,7,11,3,1,7,4,2,-13,South
 10,9,1,1,1,1,1,5,5,9,9,11,9,15,8,9,1,1,5,3,2,-14,South
 10,8,1,1,0,1,1,4,5,10,9,10,9,15,9,9,1,1,5,2,2,-15,South
 10,7,1,1,0,1,1,3,5,10,8,10,8,14,9,9,1,1,5,1,2,-16,South
 10,8,1,1,0,1,1,3,4,3,1,5,1,14,8,11,-1,-1,5,2,2,383,North
 10,9,1,1,1,1,1,4,4,3,1,5,1,14,7,11,-1,-1,7,3,2,382,North
 10,10,1,1,1,0,1,4,3,3,1,5,1,14,6,13,-1,-1,9,4,2,381,North
 11,10,1,1,0,1,1,5,3,3,1,5,1,14,5,13,-1,-1,8,3,2,380,East
 11,10,1,1,0,1,1,6,3,3,1,5,1,14,5,12,-1,-1,8,3,2,379,East
 11,10,1,1,0,1,1,6,3,3,1,5,1,14,5,12,-1,-1,7,3,2,378,East
 11,11,0,1,1,1,1,7,3,3,1,5,1,13,5,12,-1,-1,8,4,2,377,North
 12,11,0,0,1,1,1,6,3,3,1,5,1,13,5,14,-1,-1,7,3,2,376,East
 13,11,0,0,1,1,1,5,3,3,1,5,1,13,5,16,-1,-1,6,2,2,375,East
 14,11,0,1,1,1,1,5,4,3,1,5,1,13,5,16,-1,-1,7,1,2,374,East
 14,10,1,1,0,0,1,4,4,3,1,5,1,13,5,16,-1,-1,7,8,1,473,South
 14,9,1,1,1,1,1,4,4,3,1,5,1,13,4,15,-1,-1,6,7,1,472,South
 14,8,1,1,1,1,1,4,3,3,1,5,1,13,4,15,-1,-1,4,6,1,471,South
 14,7,1,1,1,1,1,3,3,3,1,5,1,13,5,15,-1,-1,4,5,1,470,South
 14,6,1,1,0,0,1,4,3,3,1,5,1,13,4,13,-1,-1,4,4,1,469,South
 14,5,1,1,1,1,1,4,3,3,1,5,1,13,3,12,-1,-1,2,5,1,468,South
 13,5,0,1,1,1,1,4,3,3,1,5,1,13,4,11,-1,-1,2,4,1,467,West
 12,5,0,0,1,1,1,4,3,3,1,5,1,13,3,10,-1,-1,4,3,1,466,West
 11,5,0,1,1,1,1,5,3,3,1,5,1,14,3,8,-1,-1,4,2,1,465,West
 10,5,1,1,1,1,1,5,4,3,1,5,1,14,4,6,-1,-1,6,1,1,464,West
 10,6,1,1,0,1,1,6,4,3,1,5,1,15,4,6,-1,-1,7,-1,0,563,North
 10,5,1,1,1,1,1,6,5,3,1,5,1,15,4,4,-1,-1,5,-1,0,562,South
 10,4,1,1,1,1,1,7,5,3,1,5,1,15,5,4,-1,-1,5,-1,0,561,South
 10,3,1,0,1,1,1,8,5,3,1,5,1,14,5,4,-1,-1,5,-1,0,560,South
 11,3,1,0,0,1,1,8,5,3,1,5,1,14,4,5,-1,-1,3,-1,0,559,East
 11,4,1,1,0,1,1,8,6,3,1,5,1,13,4,5,-1,-1,3,-1,0,558,North
 11,5,0,1,1,1,1,8,5,3,1,5,1,14,4,3,-1,-1,3,-1,0,557,North
 12,5,0,0,1,1,1,8,4,3,1,5,1,13,4,5,-1,-1,3,-1,0,556,East
 13,5,0,1,1,1,1,8,5,3,1,5,1,13,3,5,-1,-1,1,-1,0,555,East
 14,5,1,1,1,1,1,8,6,3,1,5,1,13,4,7,-1,-1,1,-1,0,554,East
 14,4,1,1,1,1,1,8,7,3,1,5,1,7,1,9,-1,-1,-1,-1,0,753,South
 14,3,1,0,1,1,1,8,6,3,1,5,1,7,1,9,-1,-1,-1,-1,0,752,South
 14,3,1,0,1,1,1,8,5,3,1,5,1,7,1,8,-1,-1,-1,-1,0,751,South
 13,3,1,0,1,0,1,8,6,3,1,5,1,7,1,8,-1,-1,-1,-1,0,750,West
 13,4,1,1,1,0,1,8,5,3,1,5,1,7,1,6,-1,-1,-1,-1,0,749,North
 13,5,0,1,1,1,1,8,6,3,1,5,1,7,1,6,-1,-1,-1,-1,0,748,North
 12,5,0,0,1,1,1,8,5,3,1,5,1,7,1,4,-1,-1,-1,-1,0,747,West
 11,5,0,1,1,1,1,8,4,3,1,5,1,7,1,4,-1,-1,-1,-1,0,746,West
 10,5,1,1,1,1,1,8,3,3,1,5,1,7,1,4,-1,-1,-1,-1,0,745,West
 9,5,1,1,1,1,1,7,3,3,1,5,1,7,1,4,-1,-1,-1,-1,0,744,West
 8,5,1,1,1,1,1,7,4,3,1,5,1,7,1,2,-1,-1,-1,-1,0,743,West
 8,6,1,1,1,0,1,7,3,3,1,5,1,7,1,4,-1,-1,-1,-1,0,742,North
 8,7,1,1,1,1,1,7,4,3,1,5,1,7,1,4,-1,-1,-1,-1,0,741,North
 8,6,1,1,1,0,1,7,5,3,1,5,1,7,1,2,-1,-1,-1,-1,0,740,South
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,6,4,7,9,7,11,14,6,12,8,6,18,14,2,-1,Stop
 1,11,0,1,1,0,1,6,3,6,9,7,11,14,6,13,7,6,19,14,2,-2,Stop
 1,11,0,1,1,0,1,6,3,5,9,8,11,14,5,13,6,7,18,14,2,-3,Stop
 2,11,0,0,1,1,1,6,4,5,10,8,11,14,6,11,4,6,17,13,2,-4,East
 3,11,0,0,1,1,1,7,4,5,9,8,11,14,6,11,4,5,16,12,2,-5,East
 4,11,0,0,1,1,1,6,4,5,8,7,11,14,6,9,4,3,16,11,2,-6,East
 5,11,0,1,1,1,1,7,4,4,8,7,11,14,5,9,4,2,16,10,2,-7,East
 5,10,1,1,1,0,1,7,3,4,8,8,11,14,4,9,3,4,16,9,2,-8,South
 5,9,1,1,1,1,1,8,3,4,8,7,11,14,3,9,2,4,14,8,2,-9,South
 5,8,1,1,1,1,1,9,3,4,8,8,11,14,4,9,1,6,14,7,2,-10,South
 4,8,1,1,1,1,1,9,3,3,1,9,11,15,4,10,-1,8,14,8,2,189,West
 3,8,1,1,1,1,1,10,3,3,1,8,11,14,4,12,-1,8,16,9,2,188,West
 4,8,1,1,1,1,1,10,3,3,1,9,11,14,3,11,-1,8,14,8,2,187,East
 5,8,1,1,1,1,1,9,3,3,1,8,11,14,4,9,-1,6,14,7,2,186,East
 6,8,1,1,1,1,1,8,3,3,1,7,11,15,4,7,-1,4,12,6,2,185,East
 6,9,1,1,1,1,1,8,4,3,1,7,11,14,4,7,-1,3,13,7,2,184,North
 6,10,1,1,0,1,1,9,4,3,1,6,11,14,4,9,-1,1,15,8,2,183,North
 6,11,0,1,1,1,1,9,5,3,1,5,1,14,3,9,-1,-1,15,9,2,382,North
 7,11,0,0,1,1,1,9,5,3,1,5,1,13,3,8,-1,-1,15,8,2,381,East
 8,11,0,0,1,1,1,9,6,3,1,5,1,14,3,6,-1,-1,13,7,2,380,East
 9,11,0,0,1,1,1,8,6,3,1,5,1,14,4,6,-1,-1,11,6,2,379,East
 10,11,0,1,1,1,1,8,5,3,1,5,1,13,4,8,-1,-1,9,5,2,378,East
 11,11,0,1,1,1,1,8,6,3,1,5,1,13,5,8,-1,-1,9,4,2,377,East
 12,11,0,0,1,1,1,8,6,3,1,5,1,13,4,9,-1,-1,9,3,2,376,East
 13,11,0,0,1,1,1,9,6,3,1,5,1,13,3,9,-1,-1,9,2,2,375,East
 14,11,0,1,1,1,1,9,7,3,1,5,1,14,3,9,-1,-1,9,1,2,374,East
 14,10,1,1,0,0,1,9,8,3,1,5,1,15,3,7,-1,-1,8,8,1,473,South
 14,9,1,1,1,1,1,8,8,3,1,5,1,15,3,7,-1,-1,8,7,1,472,South
 14,8,1,1,1,1,1,8,7,3,1,5,1,16,3,7,-1,-1,8,6,1,471,South
 14,7,1,1,1,1,1,7,7,3,1,5,1,17,3,7,-1,-1,6,5,1,470,South
 14,6,1,1,0,0,1,7,8,3,1,5,1,17,4,9,-1,-1,4,4,1,469,South
 14,5,1,1,1,1,1,8,8,3,1,5,1,17,5,9,-1,-1,4,5,1,468,South
 15,5,0,1,1,1,1,9,8,3,1,5,1,18,5,9,-1,-1,4,6,1,467,East
 16,5,0,1,1,1,1,10,8,3,1,5,1,18,4,9,-1,-1,3,7,1,466,East
 17,5,0,1,1,1,1,9,8,3,1,5,1,18,4,11,-1,-1,2,8,1,465,East
 18,5,1,1,0,1,1,9,7,3,1,5,1,18,4,11,-1,-1,-1,9,1,664,East
 18,4,1,1,0,1,1,8,7,3,1,5,1,7,1,13,-1,-1,-1,10,1,663,South
 18,3,1,0,0,1,1,7,7,3,1,5,1,7,1,15,-1,-1,-1,11,1,662,South
 17,3,1,0,1,1,1,8,7,3,1,5,1,7,1,13,-1,-1,-1,10,1,661,West
 17,4,1,1,1,1,1,7,7,3,1,5,1,7,1,13,-1,-1,-1,9,1,660,North
 17,5,0,1,1,1,1,8,7,3,1,5,1,7,1,11,-1,-1,-1,8,1,659,North
 16,5,0,1,1,1,1,8,6,3,1,5,1,7,1,9,-1,-1,-1,7,1,658,West
 15,5,0,1,1,1,1,8,7,3,1,5,1,7,1,9,-1,-1,-1,6,1,657,West
 14,5,1,1,1,1,1,9,7,3,1,5,1,7,1,7,-1,-1,-1,5,1,656,West
 13,5,0,1,1,1,1,9,6,3,1,5,1,7,1,5,-1,-1,-1,4,1,655,West
 12,5,0,0,1,1,1,9,5,3,1,5,1,7,1,3,-1,-1,-1,3,1,654,West
 11,5,0,1,1,1,1,8,5,3,1,5,1,7,1,3,-1,-1,-1,2,1,653,West
 10,5,1,1,1,1,1,8,5,3,1,5,1,7,1,2,-1,-1,-1,1,1,652,West
 10,6,1,1,0,1,1,9,5,3,1,5,1,7,1,2,-1,-1,-1,-1,0,751,North
 10,7,1,1,0,1,1,8,5,3,1,5,1,7,1,4,-1,-1,-1,-1,0,750,North
 9,7,1,1,1,1,1,8,5,3,1,5,1,7,1,3,-1,-1,-1,-1,0,749,West
 9,6,1,1,1,1,1,9,5,3,1,5,1,7,1,1,-1,-1,-1,-1,0,748,South
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,5,5,7,9,9,11,14,6,10,8,8,19,14,2,-1,Stop
 1,11,0,1,1,0,1,6,5,6,9,9,11,14,5,11,7,8,19,14,2,-2,Stop
 2,11,0,0,1,1,1,5,5,7,9,10,11,14,5,9,7,8,19,13,2,-3,East
 3,11,0,0,1,1,1,4,5,7,9,11,11,14,4,7,6,8,18,12,2,-4,East
 4,11,0,0,1,1,1,4,4,7,9,11,10,14,4,7,5,8,18,11,2,-5,East
 5,11,0,1,1,1,1,5,4,8,9,11,11,15,4,7,5,6,18,10,2,-6,East
 6,11,0,1,1,1,1,6,4,8,9,10,11,15,3,7,4,4,16,9,2,-7,East
 6,10,1,1,0,1,1,6,3,9,9,11,11,15,4,7,4,6,16,8,2,-8,South
 6,9,1,1,1,1,1,5,3,9,9,10,11,16,4,7,3,6,14,7,2,-9,South
 7,9,0,1,1,1,1,6,3,10,9,10,10,16,5,7,3,4,12,6,2,-10,East
 8,9,0,1,1,1,1,6,4,10,10,10,9,15,5,7,3,2,12,5,2,-11,East
 9,9,0,1,1,1,1,6,4,10,11,11,9,15,4,8,3,2,10,4,2,-12,East
 10,9,1,1,1,1,1,6,3,10,11,11,10,15,5,10,2,2,10,3,2,-13,East
 10,10,1,1,1,0,1,6,3,11,11,11,9,15,4,11,2,2,10,4,2,-14,North
 10,11,0,1,1,1,1,6,4,11,11,10,9,15,5,11,1,2,11,5,2,-15,North
 9,11,0,0,1,1,1,7,4,11,10,10,10,15,5,9,3,2,13,6,2,-16,West
 10,11,0,1,1,1,1,7,5,11,10,5,1,15,4,9,2,-1,13,5,2,183,East
 11,11,0,1,1,1,1,7,4,10,10,5,1,15,3,11,2,-1,13,4,2,182,East
 11,10,1,1,0,1,1,7,5,10,9,5,1,16,3,9,2,-1,11,3,2,181,South
 11,9,1,0,1,1,1,8,5,10,9,5,1,16,4,7,1,-1,9,4,2,180,South
 10,9,1,1,1,1,1,8,4,3,1,5,1,16,5,7,-1,-1,9,3,2,379,West
 9,9,0,1,1,1,1,8,5,3,1,5,1,15,5,5,-1,-1,9,4,2,378,West
 9,8,1,1,1,1,1,8,6,3,1,5,1,14,5,3,-1,-1,9,3,2,377,South
 9,7,1,1,1,1,1,8,7,3,1,5,1,15,5,1,-1,-1,9,2,2,376,South
 9,6,1,1,1,1,1,9,7,3,1,5,1,15,4,1,-1,-1,7,1,2,375,South
 8,6,1,1,1,0,1,8,7,3,1,5,1,14,4,1,-1,-1,9,2,2,374,West
 8,5,1,1,1,1,1,7,7,3,1,5,1,14,3,3,-1,-1,8,3,2,373,South
 8,4,1,1,1,1,1,7,8,3,1,5,1,14,3,5,-1,-1,8,4,2,372,South
 8,5,1,1,1,1,1,8,8,3,1,5,1,15,3,3,-1,-1,8,3,2,371,North
 8,6,1,1,1,0,1,8,7,3,1,5,1,14,3,1,-1,-1,8,2,2,370,North
 8,7,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,9,3,2,569,North
 8,8,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,10,4,2,568,North
 9,8,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,9,3,2,567,East
 9,7,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,8,2,2,566,South
 9,6,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,7,1,2,565,South
 9,5,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,6,2,2,564,South
 10,5,1,1,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,6,1,2,563,East
 11,5,0,1,1,1,1,1,1,3,1,5,1,14,3,-1,-1,-1,4,2,2,562,East
 12,5,0,0,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,3,3,2,561,East
 11,5,0,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,3,2,2,560,West
 10,5,1,1,1,1,1,1,1,3,1,5,1,13,4,-1,-1,-1,5,1,2,559,West
 10,6,1,1,0,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,6,8,1,658,North
 10,7,1,1,0,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,7,7,1,657,North
 10,6,1,1,0,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,7,8,1,656,South
 10,5,1,1,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,6,9,1,655,South
 11,5,0,1,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,4,8,1,654,East
 12,5,0,0,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,4,7,1,653,East
 13,5,0,1,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,2,6,1,652,East
 14,5,1,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,2,5,1,651,East
 15,5,0,1,1,1,1,1,1,3,1,5,1,14,3,-1,-1,-1,3,6,1,650,East
 15,4,1,1,1,1,1,1,1,3,1,5,1,14,3,-1,-1,-1,3,7,1,649,South
 15,3,1,0,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,1,8,1,648,South
 16,3,1,0,1,1,1,1,1,3,1,5,1,14,3,-1,-1,-1,3,9,1,647,East
 15,3,1,0,1,1,1,1,1,3,1,5,1,13,3,-1,-1,-1,3,8,1,646,West
 14,3,1,0,1,1,1,1,1,3,1,5,1,13,4,-1,-1,-1,1,7,1,645,West
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,5,5,5,9,9,11,14,6,10,6,8,17,14,2,-1,Stop
 1,11,0,1,1,0,1,4,5,5,10,10,11,14,7,9,5,9,18,14,2,-2,Stop
 2,11,0,0,1,1,1,4,5,5,10,9,11,14,6,8,4,7,17,13,2,-3,East
 3,11,0,0,1,1,1,4,4,6,10,9,11,14,6,8,4,6,15,12,2,-4,East
 4,11,0,0,1,1,1,4,5,5,10,8,11,14,7,6,2,4,13,11,2,-5,East
 5,11,0,1,1,1,1,3,5,6,10,8,11,14,8,8,2,3,13,10,2,-6,East
 6,11,0,1,1,1,1,3,5,6,10,9,11,15,8,9,1,3,13,9,2,-7,East
 7,11,0,0,1,1,1,3,4,5,10,9,11,15,7,11,3,2,13,8,2,-8,East
 8,11,0,0,1,1,1,2,4,6,10,9,11,16,7,13,3,1,13,7,2,-9,East
 9,11,0,0,1,1,1,2,5,6,10,5,1,17,7,13,4,-1,11,6,2,190,East
 10,11,0,1,1,1,1,2,5,6,9,5,1,17,8,14,6,-1,9,5,2,189,East
 11,11,0,1,1,1,1,3,5,6,9,5,1,16,8,14,7,-1,7,4,2,188,East
 12,11,0,0,1,1,1,4,5,5,9,5,1,16,9,14,9,-1,7,3,2,187,East
 13,11,0,0,1,1,1,4,4,5,10,5,1,17,9,16,9,-1,5,2,2,186,East
 14,11,0,1,1,1,1,4,5,5,10,5,1,16,9,16,10,-1,4,1,2,185,East
 14,10,1,1,0,0,1,5,5,5,11,5,1,16,9,14,10,-1,4,8,1,284,South
 14,9,1,1,1,1,1,6,5,5,10,5,1,17,9,12,10,-1,3,7,1,283,South
 15,9,0,1,1,1,1,7,5,5,10,5,1,17,9,12,11,-1,1,8,1,282,East
 16,9,0,1,1,1,1,8,5,6,10,5,1,7,1,12,11,-1,-1,9,1,481,East
 17,9,0,1,1,1,1,7,5,5,10,5,1,7,1,14,13,-1,-1,10,1,480,East
 17,8,1,1,1,1,1,7,4,5,9,5,1,7,1,14,13,-1,-1,9,1,479,South
 16,8,1,1,1,1,1,7,5,4,9,5,1,7,1,12,13,-1,-1,8,1,478,West
 15,8,1,1,1,1,1,7,5,5,9,5,1,7,1,11,11,-1,-1,7,1,477,West
 14,8,1,1,1,1,1,8,5,4,9,5,1,7,1,9,11,-1,-1,6,1,476,West
 14,9,1,1,1,1,1,8,5,3,9,5,1,7,1,10,11,-1,-1,7,1,475,North
 14,10,1,1,0,0,1,7,5,2,9,5,1,7,1,12,13,-1,-1,8,1,474,North
 14,11,0,1,1,1,1,7,5,2,9,5,1,7,1,13,14,-1,-1,9,1,473,North
 13,11,0,0,1,1,1,8,5,2,8,5,1,7,1,11,14,-1,-1,8,1,472,West
 12,11,0,0,1,1,1,8,4,1,8,5,1,7,1,11,14,-1,-1,7,1,471,West
 11,11,0,1,1,1,1,8,4,1,9,5,1,7,1,10,12,-1,-1,6,1,470,West
 11,10,1,1,0,1,1,9,4,1,8,5,1,7,1,8,12,-1,-1,5,1,469,South
 11,9,1,0,1,1,1,9,4,1,7,5,1,7,1,7,12,-1,-1,4,1,468,South
 11,9,1,0,1,1,1,9,3,1,6,5,1,7,1,8,13,-1,-1,4,1,467,South
 11,9,1,0,1,1,1,10,3,1,6,5,1,7,1,7,13,-1,-1,4,1,466,South
 10,9,1,1,1,1,1,9,3,1,6,5,1,7,1,7,12,-1,-1,3,1,465,West
 10,8,1,1,0,1,1,9,3,1,7,5,1,7,1,6,10,-1,-1,2,1,464,South
 10,7,1,1,0,1,1,9,3,1,6,5,1,7,1,5,10,-1,-1,1,1,463,South
 10,6,1,1,0,1,1,8,3,1,6,5,1,7,1,5,9,-1,-1,-1,0,562,South
 10,5,1,1,1,1,1,8,3,1,6,5,1,7,1,4,10,-1,-1,-1,0,561,South
 10,4,1,1,1,1,1,9,3,1,7,5,1,7,1,2,12,-1,-1,-1,0,560,South
 10,3,1,0,1,1,1,9,4,2,7,5,1,7,1,2,12,-1,-1,-1,0,559,South
 9,3,1,0,1,1,1,8,4,2,7,5,1,7,1,2,11,-1,-1,-1,0,558,West
 8,3,1,0,1,1,1,1,1,2,7,5,1,7,1,-1,10,-1,-1,-1,0,757,West
 8,4,1,1,1,1,1,1,1,1,7,5,1,7,1,-1,10,-1,-1,-1,0,756,North
 8,5,1,1,1,1,1,1,1,1,6,5,1,7,1,-1,8,-1,-1,-1,0,755,North
